,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
45,2016-02-01,-7,30,37,50.0,49,1.932,2016
46,2016-01-25,-12,26,38,50.0,49,1.965,2016
47,2016-01-18,-12,27,39,49.0,50,2.022,2016
48,2016-01-11,-16,25,41,47.0,52,2.104,2016
49,2016-01-04,-14,25,39,48.0,51,2.135,2016
50,2015-12-28,-12,27,39,50.0,49,2.141,2015
51,2015-12-21,-13,27,40,48.0,51,2.133,2015
52,2015-12-14,-9,29,38,48.0,50,2.144,2015
53,2015-12-07,-17,25,42,46.0,53,2.1590000000000003,2015
54,2015-11-30,-16,25,41,46.0,52,2.165,2015
55,2015-11-30,-19,23,42,45.0,54,2.165,2015
56,2015-11-23,-16,25,41,47.0,53,2.198,2015
57,2015-11-16,-18,23,41,46.0,53,2.281,2015
58,2015-11-09,-19,23,42,45.0,54,2.335,2015
59,2015-11-02,-13,26,39,48.0,51,2.322,2015
60,2015-10-19,-19,23,42,44.0,54,2.374,2015
61,2015-10-12,-17,24,41,47.0,52,2.432,2015
62,2015-10-05,-19,24,43,44.0,55,2.415,2015
63,2015-09-28,-15,25,40,46.0,52,2.418,2015
64,2015-09-21,-17,23,40,47.0,52,2.425,2015
65,2015-09-14,-18,24,42,45.0,54,2.471,2015
66,2015-09-07,-15,25,40,47.0,53,2.532,2015
67,2015-08-24,-17,24,41,46.0,53,2.7260000000000004,2015
68,2015-08-17,-20,23,43,44.0,55,2.803,2015
69,2015-08-10,-10,28,38,49.0,50,2.72,2015
70,2015-08-03,-15,26,41,47.0,52,2.779,2015
71,2015-07-27,-17,23,40,47.0,52,2.833,2015
72,2015-07-20,-21,21,42,43.0,55,2.888,2015
73,2015-07-13,-15,26,41,47.0,52,2.92,2015
74,2015-07-06,-15,26,41,47.0,52,2.877,2015
75,2015-06-29,-13,26,39,48.0,50,2.885,2015
76,2015-06-22,-15,25,40,46.0,53,2.895,2015
77,2015-06-15,-13,27,40,48.0,51,2.918,2015
78,2015-06-08,-14,26,40,48.0,51,2.863,2015
79,2015-06-01,-11,27,38,49.0,50,2.863,2015
80,2015-05-25,-18,23,41,44.0,54,2.8569999999999998,2015
81,2015-05-18,-20,21,41,45.0,54,2.827,2015
82,2015-05-11,-17,23,40,47.0,52,2.7760000000000002,2015
83,2015-05-04,-15,24,39,47.0,51,2.7489999999999997,2015
84,2015-04-27,-16,23,39,46.0,53,2.656,2015
85,2015-04-20,-18,24,42,46.0,53,2.57,2015
86,2015-04-13,-16,23,39,48.0,51,2.494,2015
87,2015-04-06,-11,25,36,49.0,50,2.499,2015
88,2015-03-30,-12,26,38,48.0,50,2.531,2015
89,2015-03-23,-15,23,38,45.0,53,2.5380000000000003,2015
90,2015-03-16,-14,25,39,47.0,51,2.537,2015
91,2015-03-09,-15,23,38,47.0,51,2.57,2015
92,2015-03-02,-15,24,39,47.0,51,2.556,2015
93,2015-02-23,-12,26,38,48.0,50,2.415,2015
94,2015-02-16,-11,26,37,48.0,51,2.358,2015
95,2015-02-09,-15,24,39,47.0,51,2.276,2015
96,2015-02-02,-13,23,36,49.0,49,2.154,2015
97,2015-01-26,-13,26,39,47.0,51,2.133,2015
98,2015-01-19,-14,24,38,47.0,52,2.157,2015
99,2015-01-12,-15,24,39,46.0,52,2.2319999999999998,2015
100,2015-01-05,-10,27,37,50.0,48,2.3080000000000003,2015
101,2014-12-29,-11,26,37,50.0,49,2.392,2014
102,2014-12-22,-9,28,37,50.0,48,2.496,2014
103,2014-12-15,-14,25,39,48.0,50,2.6430000000000002,2014
104,2014-12-08,-14,23,37,48.0,50,2.767,2014
105,2014-11-24,-15,24,39,48.0,51,2.907,2014
106,2014-11-17,-17,22,39,47.0,51,2.978,2014
107,2014-11-10,-15,24,39,48.0,50,3.025,2014
108,2014-11-03,-15,23,38,48.0,50,3.077,2014
109,2014-10-20,-19,22,41,46.0,53,3.205,2014
110,2014-10-13,-13,25,38,48.0,51,3.292,2014
111,2014-10-06,-20,21,41,46.0,52,3.3819999999999997,2014
112,2014-09-29,-19,24,43,46.0,53,3.4339999999999997,2014
113,2014-09-22,-18,21,39,47.0,52,3.432,2014
114,2014-09-15,-19,20,39,49.0,49,3.485,2014
115,2014-09-08,-19,21,40,46.0,52,3.534,2014
116,2014-09-01,-15,22,37,48.0,50,3.536,2014
117,2014-08-25,-17,21,38,47.0,52,3.532,2014
118,2014-08-18,-20,21,41,46.0,53,3.549,2014
119,2014-08-11,-20,20,40,48.0,51,3.582,2014
120,2014-08-04,-20,20,40,47.0,51,3.595,2014
121,2014-07-28,-21,21,42,46.0,52,3.617,2014
122,2014-07-21,-17,22,39,46.0,53,3.6710000000000003,2014
123,2014-07-14,-19,21,40,45.0,53,3.7119999999999997,2014
124,2014-07-07,-17,24,41,48.0,51,3.753,2014
125,2014-06-30,-23,20,43,45.0,53,3.778,2014
126,2014-06-30,-23,21,44,46.0,54,3.778,2014
127,2014-06-23,-17,24,41,47.0,51,3.778,2014
128,2014-06-16,-20,22,42,48.0,52,3.76,2014
129,2014-06-09,-19,22,41,46.0,53,3.7489999999999997,2014
130,2014-06-02,-16,24,40,47.0,52,3.765,2014
131,2014-05-26,-21,19,40,45.0,53,3.75,2014
132,2014-05-26,-21,19,40,45.0,53,3.75,2014
133,2014-05-19,-16,24,40,47.0,52,3.7430000000000003,2014
134,2014-05-12,-18,22,40,46.0,53,3.7460000000000004,2014
135,2014-05-05,-13,23,36,52.0,46,3.761,2014
136,2014-04-28,-16,23,39,49.0,49,3.7880000000000003,2014
137,2014-04-21,-14,23,37,50.0,48,3.758,2014
138,2014-04-14,-10,24,34,50.0,48,3.725,2014
139,2014-04-07,-10,26,36,50.0,48,3.67,2014
140,2014-03-24,-19,22,41,45.0,54,3.622,2014
141,2014-03-17,-17,24,41,46.0,53,3.6189999999999998,2014
142,2014-03-10,-11,27,38,50.0,49,3.5839999999999996,2014
143,2014-03-03,-16,23,39,48.0,51,3.553,2014
144,2014-02-24,-15,24,39,48.0,50,3.52,2014
145,2014-02-17,-13,25,38,49.0,49,3.457,2014
146,2014-02-10,-16,25,41,47.0,51,3.388,2014
147,2014-02-03,-16,23,39,47.0,52,3.372,2014
148,2014-01-27,-15,23,38,48.0,50,3.375,2014
149,2014-01-20,-12,26,38,50.0,49,3.3760000000000003,2014
150,2014-01-13,-20,23,43,44.0,55,3.406,2014
151,2014-01-06,-18,22,40,45.0,54,3.411,2014
152,2013-12-30,-18,24,42,46.0,53,3.409,2013
153,2013-12-23,-13,25,38,49.0,50,3.3510000000000004,2013
154,2013-12-16,-11,26,37,51.0,47,3.321,2013
155,2013-12-09,-15,24,39,49.0,50,3.35,2013
156,2013-11-18,-21,21,42,47.0,52,3.298,2013
157,2013-11-11,-17,24,41,48.0,51,3.2739999999999996,2013
158,2013-11-04,-22,23,45,44.0,55,3.343,2013
159,2013-10-21,-23,22,45,43.0,55,3.435,2013
160,2013-10-14,-23,21,44,44.0,55,3.43,2013
161,2013-10-07,-20,23,43,45.0,54,3.4410000000000003,2013
162,2013-09-30,-15,25,40,48.0,50,3.4989999999999997,2013
163,2013-09-30,-16,24,40,47.0,52,3.4989999999999997,2013
164,2013-09-23,-12,26,38,52.0,47,3.5669999999999997,2013
165,2013-09-16,-16,28,44,46.0,52,3.6189999999999998,2013
166,2013-09-09,-9,29,38,50.0,49,3.658,2013
167,2013-09-02,-9,29,38,50.0,49,3.678,2013
168,2013-08-26,-12,25,37,48.0,51,3.623,2013
169,2013-08-19,-15,24,39,48.0,50,3.622,2013
170,2013-08-12,-17,23,40,46.0,52,3.633,2013
171,2013-08-05,-13,24,37,48.0,50,3.701,2013
172,2013-07-29,-11,25,36,49.0,48,3.716,2013
173,2013-07-22,-18,22,40,48.0,51,3.7510000000000003,2013
174,2013-07-15,-19,23,42,45.0,52,3.7060000000000004,2013
175,2013-07-08,-11,27,38,49.0,50,3.563,2013
176,2013-07-01,-15,25,40,47.0,52,3.5669999999999997,2013
177,2013-06-24,-14,24,38,48.0,51,3.645,2013
178,2013-06-17,-15,24,39,48.0,50,3.6889999999999996,2013
179,2013-06-10,-17,23,40,46.0,52,3.715,2013
180,2013-06-03,-17,24,41,46.0,52,3.705,2013
181,2013-05-27,-19,22,41,46.0,51,3.7039999999999997,2013
182,2013-05-20,-17,24,41,46.0,53,3.7289999999999996,2013
183,2013-05-13,-12,27,39,48.0,51,3.665,2013
184,2013-05-06,-9,28,37,52.0,47,3.602,2013
185,2013-04-29,-15,24,39,49.0,51,3.5869999999999997,2013
186,2013-04-22,-17,24,41,46.0,53,3.603,2013
187,2013-04-15,-13,26,39,49.0,49,3.611,2013
188,2013-04-08,-12,25,37,48.0,51,3.676,2013
189,2013-04-01,-13,24,37,49.0,49,3.714,2013
190,2013-03-25,-14,25,39,48.0,50,3.7460000000000004,2013
191,2013-03-18,-12,26,38,49.0,49,3.764,2013
192,2013-03-11,-11,27,38,49.0,49,3.779,2013
193,2013-03-04,-9,28,37,50.0,49,3.826,2013
194,2013-02-25,-8,29,37,52.0,47,3.8510000000000004,2013
195,2013-02-18,-10,28,38,51.0,47,3.812,2013
196,2013-02-11,-7,30,37,51.0,48,3.677,2013
197,2013-02-04,-9,30,39,51.0,47,3.6039999999999996,2013
198,2013-01-28,-8,30,38,51.0,48,3.427,2013
199,2013-01-21,-6,30,36,51.0,47,3.386,2013
200,2013-01-14,-5,30,35,54.0,45,3.377,2013
201,2013-01-07,-6,31,37,51.0,48,3.373,2013
202,2012-12-31,-4,30,34,54.0,45,3.3689999999999998,2012
203,2012-12-24,-3,32,35,54.0,45,3.3280000000000003,2012
204,2012-12-17,-6,31,37,55.0,45,3.324,2012
205,2012-12-10,-3,31,34,52.0,45,3.4189999999999996,2012
206,2012-12-03,-2,32,34,57.0,42,3.463,2012
207,2012-11-19,-1,32,33,55.0,43,3.497,2012
208,2012-11-12,-1,34,35,55.0,44,3.5180000000000002,2012
209,2012-11-05,-1,31,32,55.0,44,3.563,2012
210,2012-10-29,-7,29,36,55.0,44,3.638,2012
211,2012-10-15,-5,32,37,54.0,45,3.886,2012
212,2012-10-08,-6,33,39,52.0,47,3.9139999999999997,2012
213,2012-10-01,-11,30,41,49.0,49,3.866,2012
214,2012-09-24,-12,29,41,49.0,49,3.889,2012
215,2012-09-17,-11,32,43,49.0,50,3.9389999999999996,2012
216,2012-09-10,-9,34,43,49.0,50,3.907,2012
217,2012-09-03,-12,29,41,49.0,50,3.903,2012
218,2012-08-27,-14,28,42,48.0,51,3.8369999999999997,2012
219,2012-08-20,-9,31,40,51.0,48,3.803,2012
220,2012-08-13,-13,28,41,49.0,51,3.779,2012
221,2012-08-06,-19,25,44,46.0,54,3.702,2012
222,2012-07-30,-16,23,39,49.0,51,3.568,2012
223,2012-07-23,-19,23,42,48.0,51,3.554,2012
224,2012-07-16,-17,25,42,48.0,51,3.485,2012
225,2012-07-09,-16,26,42,46.0,53,3.469,2012
226,2012-07-02,-21,23,44,45.0,53,3.415,2012
227,2012-06-25,-12,29,41,48.0,51,3.4939999999999998,2012
228,2012-06-18,-16,26,42,46.0,51,3.589,2012
229,2012-06-11,-14,27,41,47.0,52,3.6289999999999996,2012
230,2012-05-28,-20,22,42,47.0,51,3.728,2012
231,2012-05-21,-14,27,41,47.0,52,3.773,2012
232,2012-05-14,-15,27,42,48.0,51,3.8139999999999996,2012
233,2012-05-07,-16,25,41,48.0,51,3.8489999999999998,2012
234,2012-04-30,-13,27,40,49.0,50,3.889,2012
235,2012-04-30,-13,27,40,49.0,49,3.889,2012
236,2012-04-23,-13,26,39,51.0,48,3.929,2012
237,2012-04-16,-15,26,41,47.0,52,3.98,2012
238,2012-04-09,-15,27,42,46.0,53,3.997,2012
239,2012-04-02,-10,29,39,49.0,50,3.9960000000000004,2012
240,2012-03-26,-13,27,40,48.0,51,3.9730000000000003,2012
241,2012-03-19,-15,25,40,49.0,50,3.923,2012
242,2012-03-12,-13,27,40,48.0,50,3.884,2012
243,2012-03-05,-18,25,43,46.0,53,3.8489999999999998,2012
244,2012-02-27,-13,27,40,47.0,52,3.78,2012
245,2012-02-20,-14,26,40,49.0,50,3.6519999999999997,2012
246,2012-02-13,-14,28,42,49.0,51,3.5839999999999996,2012
247,2012-02-06,-15,26,41,48.0,51,3.542,2012
248,2012-01-23,-12,28,40,50.0,49,3.45,2012
249,2012-01-16,-12,27,39,49.0,50,3.451,2012
250,2012-01-09,-11,26,37,50.0,49,3.4410000000000003,2012
251,2012-01-02,-13,26,39,47.0,51,3.358,2012
252,2011-12-26,-13,25,38,46.0,52,3.3169999999999997,2011
253,2011-12-19,-16,24,40,47.0,52,3.29,2011
254,2011-12-12,-16,22,38,47.0,52,3.346,2011
255,2011-12-05,-20,22,42,45.0,53,3.35,2011
256,2011-11-28,-18,23,41,45.0,54,3.3680000000000003,2011
257,2011-11-21,-18,21,39,47.0,51,3.427,2011
258,2011-11-14,-17,23,40,46.0,52,3.495,2011
259,2011-11-07,-19,21,40,45.0,54,3.4819999999999998,2011
260,2011-10-17,-24,20,44,44.0,56,3.533,2011
261,2011-10-10,-18,22,40,45.0,53,3.4760000000000004,2011
262,2011-10-03,-22,20,42,46.0,52,3.492,2011
263,2011-09-26,-21,19,40,43.0,55,3.568,2011
264,2011-09-19,-22,19,41,45.0,54,3.657,2011
265,2011-09-12,-16,23,39,45.0,53,3.715,2011
266,2011-09-05,-24,19,43,42.0,56,3.727,2011
267,2011-08-29,-20,22,42,45.0,53,3.682,2011
268,2011-08-22,-18,21,39,46.0,52,3.638,2011
269,2011-08-15,-17,23,40,46.0,53,3.662,2011
270,2011-08-08,-22,20,42,43.0,56,3.73,2011
271,2011-08-01,-24,19,43,43.0,56,3.766,2011
272,2011-07-25,-24,21,45,42.0,57,3.7539999999999996,2011
273,2011-07-18,-23,19,42,43.0,54,3.736,2011
274,2011-07-11,-22,21,43,43.0,56,3.695,2011
275,2011-07-04,-18,22,40,45.0,54,3.634,2011
276,2011-06-27,-17,25,42,45.0,54,3.6310000000000002,2011
277,2011-06-20,-17,24,41,44.0,54,3.708,2011
278,2011-06-13,-15,23,38,48.0,51,3.767,2011
279,2011-06-06,-14,24,38,49.0,50,3.833,2011
280,2011-05-30,-18,21,39,47.0,52,3.8480000000000003,2011
281,2011-05-23,-15,23,38,46.0,53,3.904,2011
282,2011-05-16,-19,23,42,45.0,54,4.013999999999999,2011
283,2011-05-09,-9,26,35,50.0,49,4.018,2011
284,2011-05-02,-11,25,36,49.0,50,4.013999999999999,2011
285,2011-04-25,-10,25,35,50.0,48,3.932,2011
286,2011-04-18,-7,27,34,50.0,49,3.8960000000000004,2011
287,2011-04-11,-12,25,37,48.0,52,3.843,2011
288,2011-04-04,-13,24,37,48.0,51,3.737,2011
289,2011-03-28,-16,22,38,47.0,52,3.65,2011
290,2011-03-21,-15,25,40,46.0,53,3.617,2011
291,2011-03-14,-15,23,38,49.0,50,3.6210000000000004,2011
292,2011-03-07,-14,23,37,47.0,52,3.572,2011
293,2011-02-28,-18,24,42,44.0,55,3.435,2011
294,2011-02-28,-17,24,41,43.0,56,3.435,2011
295,2011-02-28,-16,24,40,43.0,56,3.435,2011
296,2011-02-28,-12,26,38,47.0,52,3.435,2011
297,2011-02-21,-14,26,40,46.0,54,3.2430000000000003,2011
298,2011-02-14,-20,23,43,44.0,56,3.193,2011
299,2011-02-07,-11,27,38,48.0,52,3.185,2011
300,2011-01-24,-14,26,40,47.0,53,3.1630000000000003,2011
301,2011-01-17,-9,28,37,48.0,50,3.158,2011
302,2011-01-10,-9,27,36,50.0,50,3.142,2011
303,2011-01-03,-15,26,41,47.0,53,3.1239999999999997,2011
304,2010-12-27,-11,28,39,47.0,51,3.1060000000000003,2010
305,2010-12-20,-7,29,36,49.0,50,3.037,2010
306,2010-12-13,-11,25,36,49.0,50,3.035,2010
307,2010-12-06,-16,24,40,46.0,53,3.013,2010
308,2010-11-29,-11,28,39,48.0,51,2.912,2010
309,2010-11-22,-16,22,38,48.0,51,2.931,2010
310,2010-11-15,-19,22,41,45.0,54,2.944,2010
311,2010-11-08,-14,27,41,46.0,53,2.917,2010
312,2010-11-01,-17,25,42,46.0,53,2.861,2010
313,2010-10-18,-17,25,42,45.0,54,2.887,2010
314,2010-10-11,-20,25,45,44.0,54,2.8710000000000004,2010
315,2010-10-04,-16,27,43,45.0,54,2.784,2010
316,2010-09-27,-18,27,45,46.0,54,2.747,2010
317,2010-09-20,-12,30,42,47.0,52,2.775,2010
318,2010-09-13,-16,27,43,45.0,54,2.772,2010
319,2010-09-06,-12,29,41,48.0,52,2.735,2010
320,2010-08-30,-17,29,46,45.0,55,2.736,2010
321,2010-08-23,-14,28,42,48.0,51,2.759,2010
322,2010-08-16,-17,27,44,45.0,54,2.798,2010
323,2010-08-09,-24,23,47,41.0,58,2.835,2010
324,2010-08-02,-13,29,42,47.0,52,2.7880000000000003,2010
325,2010-07-26,-17,27,44,44.0,56,2.801,2010
326,2010-07-19,-18,26,44,46.0,53,2.775,2010
327,2010-07-12,-20,25,45,45.0,54,2.7710000000000004,2010
328,2010-07-05,-14,28,42,46.0,54,2.779,2010
329,2010-06-28,-15,27,42,46.0,53,2.8089999999999997,2010
330,2010-06-21,-18,26,44,46.0,53,2.795,2010
331,2010-06-14,-18,24,42,47.0,53,2.7560000000000002,2010
332,2010-06-07,-17,26,43,45.0,54,2.78,2010
333,2010-05-24,-13,27,40,48.0,51,2.842,2010
334,2010-05-17,-20,26,46,43.0,56,2.918,2010
335,2010-05-10,-17,26,43,46.0,53,2.958,2010
336,2010-05-03,-14,26,40,48.0,52,2.95,2010
337,2010-04-26,-22,23,45,43.0,56,2.9010000000000002,2010
338,2010-04-19,-19,25,44,44.0,55,2.911,2010
339,2010-04-12,-13,28,41,47.0,52,2.909,2010
340,2010-04-05,-11,28,39,48.0,52,2.877,2010
341,2010-03-29,-11,30,41,47.0,52,2.8510000000000004,2010
342,2010-03-22,-10,31,41,47.0,52,2.87,2010
343,2010-03-15,-9,31,40,48.0,51,2.841,2010
344,2010-03-08,-14,28,42,47.0,53,2.804,2010
345,2010-03-01,-10,31,41,47.0,53,2.7560000000000002,2010
346,2010-02-22,-12,29,41,47.0,53,2.7089999999999996,2010
347,2010-02-15,-16,26,42,45.0,54,2.6639999999999997,2010
348,2010-02-08,-19,22,41,46.0,54,2.707,2010
349,2010-02-01,-12,26,38,47.0,52,2.717,2010
350,2010-01-25,-15,25,40,45.0,54,2.76,2010
351,2010-01-18,-10,27,37,49.0,50,2.793,2010
352,2010-01-11,-14,25,39,46.0,52,2.804,2010
353,2010-01-04,-8,29,37,49.0,50,2.718,2010
354,2009-12-28,-17,25,42,46.0,54,2.662,2009
355,2009-12-21,-15,27,42,47.0,52,2.645,2009
356,2009-12-14,-15,25,40,46.0,53,2.655,2009
357,2009-12-07,-12,27,39,48.0,52,2.6889999999999996,2009
358,2009-11-30,-18,24,42,46.0,53,2.6839999999999997,2009
359,2009-11-30,-16,25,41,47.0,52,2.6839999999999997,2009
360,2009-11-23,-18,26,44,45.0,55,2.694,2009
361,2009-11-16,-12,28,40,45.0,54,2.6839999999999997,2009
362,2009-11-09,-10,29,39,48.0,52,2.72,2009
363,2009-11-02,-12,27,39,47.0,52,2.7460000000000004,2009
364,2009-10-19,-14,27,41,46.0,52,2.6260000000000003,2009
365,2009-10-12,-9,29,38,47.0,52,2.543,2009
366,2009-10-05,-9,30,39,48.0,52,2.523,2009
367,2009-09-28,-11,30,41,48.0,52,2.5540000000000003,2009
368,2009-09-21,-13,27,40,47.0,53,2.6069999999999998,2009
369,2009-09-14,-7,32,39,49.0,50,2.6319999999999997,2009
370,2009-09-07,-8,29,37,49.0,50,2.642,2009
371,2009-08-24,-5,33,38,51.0,48,2.682,2009
372,2009-08-17,-8,32,40,47.0,52,2.6910000000000003,2009
373,2009-08-10,-8,33,41,48.0,51,2.7,2009
374,2009-08-03,-11,28,39,47.0,53,2.61,2009
375,2009-07-27,-8,31,39,50.0,49,2.557,2009
376,2009-07-20,-6,32,38,50.0,50,2.519,2009
377,2009-07-13,-8,29,37,47.0,52,2.5839999999999996,2009
378,2009-07-06,-6,32,38,49.0,51,2.6660000000000004,2009
379,2009-06-29,-10,29,39,49.0,50,2.695,2009
380,2009-06-22,-6,29,35,51.0,47,2.7430000000000003,2009
381,2009-06-15,-7,29,36,52.0,47,2.722,2009
382,2009-06-08,-5,32,37,52.0,48,2.673,2009
383,2009-06-01,-1,32,33,54.0,45,2.572,2009
384,2009-05-25,+2,32,30,56.0,44,2.485,2009
385,2009-05-18,+2,35,33,55.0,45,2.36,2009
386,2009-05-11,+7,37,30,56.0,43,2.29,2009
387,2009-05-04,+2,33,31,55.0,45,2.129,2009
388,2009-04-27,+5,34,29,56.0,43,2.102,2009
389,2009-04-20,+7,36,29,58.0,41,2.112,2009
390,2009-04-13,+7,36,29,57.0,42,2.104,2009
391,2009-04-06,+7,37,30,57.0,43,2.09,2009
392,2009-03-30,+2,34,32,54.0,45,2.097,2009
393,2009-03-23,+6,37,31,55.0,44,2.0140000000000002,2009
394,2009-03-16,+4,36,32,55.0,43,1.964,2009
395,2009-03-09,+5,34,29,55.0,44,1.993,2009
396,2009-03-02,+5,35,30,56.0,44,1.9880000000000002,2009
397,2009-02-23,+5,36,31,56.0,42,1.963,2009
398,2009-02-16,+4,36,32,56.0,43,2.016,2009
399,2009-02-09,+6,38,32,56.0,43,1.9780000000000002,2009
400,2009-02-02,+10,39,29,58.0,41,1.944,2009
401,2009-01-26,+16,41,25,60.0,40,1.89,2009
402,2009-01-19,+13,38,25,60.0,39,1.8980000000000001,2009
403,2009-01-12,+19,43,24,61.0,37,1.835,2009
404,2009-01-05,+19,39,20,62.0,36,1.7369999999999999,2009
405,2008-12-29,+22,42,20,62.0,36,1.67,2008
406,2008-12-22,+30,44,14,64.0,29,1.71,2008
407,2008-12-15,+25,41,16,65.0,33,1.716,2008
408,2008-12-08,+29,42,13,69.0,28,1.758,2008
409,2008-11-17,+27,42,15,66.0,31,2.1319999999999997,2008
410,2008-11-10,+27,43,16,67.0,31,2.2840000000000003,2008
411,2008-11-03,+27,42,15,67.0,30,2.4619999999999997,2008
412,2008-10-20,+22,41,19,61.0,35,2.9739999999999998,2008
413,2008-10-13,+18,40,22,57.0,38,3.213,2008
414,2008-10-06,+8,40,32,52.0,44,3.543,2008
